,TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
22,,2051,Donnell,Harvey,Donnell Harvey,PF,79.25,6' 7.25'',,,220,84.5,7' 0.5'',105.5,8' 9.5'',,,
23,,12138,Johnny,Hemsley,Johnny Hemsley,SG-SF,74.75,6' 2.75'',,,200,80.0,6' 8'',100.5,8' 4.5'',,,
24,,12139,Michael,Hermon,Michael Hermon,SG-PG,74.75,6' 2.75'',,,195,78.25,6' 6.25'',98.5,8' 2.5'',,,
25,,2083,Cory,Hightower,Cory Hightower,SG-SF,77.5,6' 5.5'',,,183,83.0,6' 11'',101.5,8' 5.5'',,,
26,,12140,Shaheen,Holloway,Shaheen Holloway,PG,69.5,5' 9.5'',,,174,70.0,5' 10'',91.0,7' 7'',,,
27,,2067,Eddie,House,Eddie House,SG-PG,71.75,5' 11.75'',,,176.5,75.5,6' 3.5'',95.0,7' 11'',,,
28,,2111,Jimmie,Hunter,Jimmie Hunter,SG-PG,75.0,6' 3'',,,170,80.0,6' 8'',100.0,8' 4'',,,
29,,12141,Jacob,Jaacks,Jacob Jaacks,PF,81.25,6' 9.25'',,,238,83.0,6' 11'',105.5,8' 9.5'',,,
30,,2060,Marko,Jaric,Marko Jaric,SG-SF,78.5,6' 6.5'',,,210,81.0,6' 9'',104.0,8' 8'',,,
31,,12142,Nate,Johnson,Nate Johnson,SF,78.5,6' 6.5'',,,211.5,80.5,6' 8.5'',104.0,8' 8'',,,
32,,12143,Kenyon,Jones,Kenyon Jones,PF-C,81.0,6' 9'',,,282,85.0,7' 1'',108.0,9' 0'',,,
33,,2077,Mark,Karcher,Mark Karcher,SG,76.0,6' 4'',,,218,80.0,6' 8'',102.5,8' 6.5'',,,
34,,12144,Brandon,Kurtz,Brandon Kurtz,PF-C,81.5,6' 9.5'',,,257,83.25,6' 11.25'',106.5,8' 10.5'',,,
35,,2061,Dan,Langhi,Dan Langhi,SF,81.0,6' 9'',,,197.5,80.0,6' 8'',104.0,8' 8'',,,
36,,2090,Justin,Love,Justin Love,PG-SG,73.5,6' 1.5'',,,205.5,76.5,6' 4.5'',97.5,8' 1.5'',,,
37,,2058,Mark,Madsen,Mark Madsen,PF,80.0,6' 8'',,,236.5,84.5,7' 0.5'',104.5,8' 8.5'',,,
38,,2082,Dan,McClintock,Dan McClintock,C-PF,83.0,6' 11'',,,250,85.5,7' 1.5'',107.0,8' 11'',,,
39,,2087,Pete,Mickeal,Pete Mickeal,SG-SF,77.0,6' 5'',,,222,81.5,6' 9.5'',103.5,8' 7.5'',,,
40,,12145,Brian,Montonati,Brian Montonati,PF,80.75,6' 8.75'',,,215,82.5,6' 10.5'',106.0,8' 10'',,,
41,,2508,Gabe,Muoneke,Gabe Muoneke,PF-SF,78.25,6' 6.25'',,,244,84.5,7' 0.5'',105.0,8' 9'',,,
42,,12146,Ndongo,N'diaye,Ndongo N'diaye,C,83.5,6' 11.5'',,,208,87.5,7' 3.5'',112.5,9' 4.5'',,,
43,,2059,Eduardo,Najera,Eduardo Najera,PF-SF,78.5,6' 6.5'',,,234.5,83.5,6' 11.5'',104.5,8' 8.5'',,,
44,,12147,Matthew,Nielsen,Matthew Nielsen,PF,81.0,6' 9'',,,223,82.5,6' 10.5'',106.0,8' 10'',,,
45,,2084,Chris,Porter,Chris Porter,SF-PF,77.5,6' 5.5'',,,214,81.5,6' 9.5'',103.5,8' 7.5'',,,
46,,2068,Lavor,Postell,Lavor Postell,SG,76.5,6' 4.5'',,,205,80.5,6' 8.5'',101.5,8' 5.5'',,,
47,,2080,Igor,Rakocevic,Igor Rakocevic,PG,74.5,6' 2.5'',,,184,77.25,6' 5.25'',100.0,8' 4'',,,
48,,12148,Reed,Rawlings,Reed Rawlings,SG-SF,78.25,6' 6.25'',,,218,81.25,6' 9.25'',104.0,8' 8'',,,
49,,2072,Michael,Redd,Michael Redd,SG-SF,76.75,6' 4.75'',,,214,81.0,6' 9'',102.0,8' 6'',,,
50,,12149,Damon,Reed,Damon Reed,PF-C,80.5,6' 8.5'',,,228,81.5,6' 9.5'',104.5,8' 8.5'',,,
51,,12021,Aubrey,Reese,Aubrey Reese,PG,70.75,5' 10.75'',,,189,77.5,6' 5.5'',94.5,7' 10.5'',,,
52,,2121,Terrance,Roberson,Terrance Roberson,SF,77.5,6' 5.5'',,,209,80.0,6' 8'',103.5,8' 7.5'',,,
53,,12022,Julius Doc,Robinson,Julius Doc Robinson,PG,72.0,6' 0'',,,184,75.75,6' 3.75'',95.5,7' 11.5'',,,
54,,12023,Pepe,Sanchez,Pepe Sanchez,PG,75.0,6' 3'',,,194,75.5,6' 3.5'',96.0,8' 0'',,,
55,,12024,Matt,Santangelo,Matt Santangelo,PG,72.0,6' 0'',,,177,75.0,6' 3'',94.0,7' 10'',,,
56,,2637,Alex,Scales,Alex Scales,SG-PG,74.25,6' 2.25'',,,184.5,81.0,6' 9'',97.5,8' 1.5'',,,
57,,12025,Karim,Shabazz,Karim Shabazz,C,83.5,6' 11.5'',,,224,87.0,7' 3'',111.5,9' 3.5'',,,
58,,12026,Nick,Sheppard,Nick Sheppard,PF-C,81.5,6' 9.5'',,,273,83.0,6' 11'',107.5,8' 11.5'',,,
59,,2074,Jabari,Smith,Jabari Smith,PF-C,81.75,6' 9.75'',,,240.5,86.5,7' 2.5'',109.5,9' 1.5'',,,
60,,2065,Mike,Smith,Mike Smith,SF,78.5,6' 6.5'',,,198,80.5,6' 8.5'',103.0,8' 7'',,,
61,,12027,Jarrett,Stephens,Jarrett Stephens,PF,77.25,6' 5.25'',,,258,81.25,6' 9.25'',103.0,8' 7'',,,
62,,12028,Bootsy,Thornton,Bootsy Thornton,SG,75.5,6' 3.5'',,,194.5,78.5,6' 6.5'',101.5,8' 5.5'',,,
63,,12029,Jaquay,Walls,Jaquay Walls,PG,73.25,6' 1.25'',,,165.5,74.5,6' 2.5'',96.5,8' 0.5'',,,
64,,12030,Jameel,Watkins,Jameel Watkins,PF-C,81.5,6' 9.5'',,,244.5,90.0,7' 6'',110.0,9' 2'',,,
0,,12033,Adam,Allenspach,Adam Allenspach,C,83.5,6' 11.5'',,,259,84.5,7' 0.5'',107.0,8' 11'',12.4,,
1,,2240,Gilbert,Arenas,Gilbert Arenas,SG,74.25,6' 2.25'',,,199,81.5,6' 9.5'',99.5,8' 3.5'',5.3,,
2,,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',,,188,81.5,6' 9.5'',99.5,8' 3.5'',9.3,,
3,,2203,Shane,Battier,Shane Battier,SF-PF,80.25,6' 8.25'',,,229,82.5,6' 10.5'',105.0,8' 9'',9.3,,
4,,12034,Cookie,Belcher,Cookie Belcher,SG-PG,75.0,6' 3'',,,206,80.5,6' 8.5'',99.0,8' 3'',5.3,,
5,,2294,Charlie,Bell,Charlie Bell,PG,74.5,6' 2.5'',,,200,79.5,6' 7.5'',97.5,8' 1.5'',6.7,,
6,,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',,,245,88.0,7' 4'',111.0,9' 3'',6.0,,
7,,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,6' 8.75'',,,214,83.5,6' 11.5'',104.0,8' 8'',8.6,,
8,,2214,Michael,Bradley,Michael Bradley,PF,81.5,6' 9.5'',,,227,85.5,7' 1.5'',107.0,8' 11'',9.3,,
9,,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,6' 2.5'',,,178,80.75,6' 8.75'',102.5,8' 6.5'',6.7,,
10,,2245,Damone,Brown,Damone Brown,SF,80.25,6' 8.25'',,,202,83.75,6' 11.75'',104.5,8' 8.5'',6.7,,
11,,2198,Kwame,Brown,Kwame Brown,PF-C,82.0,6' 10'',,,243,85.0,7' 1'',108.0,9' 0'',8.9,,
12,,12031,SirValiant,Brown,SirValiant Brown,PG,71.0,5' 11'',,,176,76.0,6' 4'',92.5,7' 8.5'',6.7,,
13,,12032,Ryan,Carroll,Ryan Carroll,SF-SG,76.0,6' 4'',,,202,80.25,6' 8.25'',99.0,8' 3'',8.0,,
14,,2199,Tyson,Chandler,Tyson Chandler,SF-PF,83.5,6' 11.5'',,,224,87.0,7' 3'',110.0,9' 2'',6.7,,
15,,2251,Eric,Chenowith,Eric Chenowith,C,85.0,7' 1'',,,264,88.0,7' 4'',111.0,9' 3'',12.9,,
16,,2439,Sam,Clancy,Sam Clancy,PF,78.25,6' 6.25'',,,242,86.75,7' 2.75'',107.0,8' 11'',8.0,,
17,,12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,78.25,6' 6.25'',,,231,83.5,6' 11.5'',103.0,8' 7'',8.0,,
18,,2260,Jarron,Collins,Jarron Collins,C-PF,81.25,6' 9.25'',,,252,87.0,7' 3'',104.0,8' 8'',15.2,,
19,,2215,Jason,Collins,Jason Collins,PF-C,82.25,6' 10.25'',,,251,88.5,7' 4.5'',110.0,9' 2'',12.9,,
20,,2241,Omar,Cook,Omar Cook,PG,71.5,5' 11.5'',,,189,77.5,6' 5.5'',92.0,7' 8'',5.5,,
21,,2201,Eddy,Curry,Eddy Curry,C,82.5,6' 10.5'',,,301,90.5,7' 6.5'',111.0,9' 3'',16.5,,
22,,12037,Tate,Decker,Tate Decker,SF,81.25,6' 9.25'',,,218,83.75,6' 11.75'',107.0,8' 11'',13.6,,
23,,2205,DeSagana,Diop,DeSagana Diop,C,82.0,6' 10'',,,314,90.5,7' 6.5'',113.0,9' 5'',21.0,,
24,,12038,Robb,Dryden,Robb Dryden,C,85.0,7' 1'',,,241,86.5,7' 2.5'',110.2,9' 2.25'',8.0,,
25,,12039,Anthony,Evans,Anthony Evans,PF,78.0,6' 6'',,,267,83.5,6' 11.5'',101.5,8' 5.5'',12.9,,
26,,2230,Maurice,Evans,Maurice Evans,SG,76.25,6' 4.25'',,,221,80.0,6' 8'',101.0,8' 5'',4.0,,
27,,12150,Benjamin,Eze,Benjamin Eze,C-PF,80.75,6' 8.75'',,,232,90.0,7' 6'',109.0,9' 1'',3.9,,
28,,2386,Kimani,Ffriend,Kimani Ffriend,C-PF,81.5,6' 9.5'',,,228,82.75,6' 10.75'',108.5,9' 0.5'',11.7,,
29,,2228,Alton,Ford,Alton Ford,PF,80.25,6' 8.25'',,,271,82.5,6' 10.5'',102.5,8' 6.5'',8.0,,
30,,2218,Joseph,Forte,Joseph Forte,SG,75.5,6' 3.5'',,,193,78.5,6' 6.5'',100.5,8' 4.5'',,,
31,,-1,Jason,Gardner,Jason Gardner,PG,69.75,5' 9.75'',,,188,73.25,6' 1.25'',92.5,7' 8.5'',8.0,,
32,,12151,Jerry,Green,Jerry Green,PG-SG,73.5,6' 1.5'',,,179,78.25,6' 6.25'',99.0,8' 3'',5.5,,
33,,12152,Kenny,Gregory,Kenny Gregory,SF,75.5,6' 3.5'',,,200,83.25,6' 11.25'',101.0,8' 5'',6.7,,
34,,2204,Eddie,Griffin,Eddie Griffin,PF-SF,81.25,6' 9.25'',,,222,87.0,7' 3'',110.0,9' 2'',4.0,,
35,,2239,Trenton,Hassell,Trenton Hassell,SG-SF,76.25,6' 4.25'',,,205,80.0,6' 8'',99.5,8' 3.5'',5.3,,
36,,2213,Kirk,Haston,Kirk Haston,PF-SF,80.0,6' 8'',,,242,84.25,7' 0.25'',106.0,8' 10'',10.5,,
37,,12153,Charles,Hathaway,Charles Hathaway,C,80.0,6' 8'',,,274,86.0,7' 2'',107.5,8' 11.5'',,,
38,,2217,Brendan,Haywood,Brendan Haywood,C,83.75,6' 11.75'',,,266,90.5,7' 6.5'',113.5,9' 5.5'',12.9,,
39,,12154,Michael,Hicks,Michael Hicks,SG,76.0,6' 4'',,,197,81.25,6' 9.25'',100.5,8' 4.5'',7.3,,
40,,2212,Steven,Hunter,Steven Hunter,C-PF,82.25,6' 10.25'',,,224,88.0,7' 4'',108.0,9' 0'',5.3,,
41,,12155,Andre,Hutson,Andre Hutson,PF,80.25,6' 8.25'',,,244,83.75,6' 11.75'',105.5,8' 9.5'',11.7,,
42,,12156,Nate,James,Nate James,SF,76.75,6' 4.75'',,,196,82.75,6' 10.75'',103.0,8' 7'',6.0,,
43,,2210,Richard,Jefferson,Richard Jefferson,SF,79.25,6' 7.25'',,,223,84.0,7' 0'',103.0,8' 7'',6.7,,
44,,2798,Horace,Jenkins,Horace Jenkins,PG,71.75,5' 11.75'',,,171,77.25,6' 5.25'',97.0,8' 1'',6.0,,
45,,12157,Darrell,Johns,Darrell Johns,C,83.25,6' 11.25'',,,278,89.0,7' 5'',111.5,9' 3.5'',19.1,,
46,,2207,Joe,Johnson,Joe Johnson,SF-SG,78.75,6' 6.75'',,,226,81.0,6' 9'',105.0,8' 9'',6.7,,
47,,2256,Ken,Johnson,Ken Johnson,C,82.75,6' 10.75'',,,227,88.0,7' 4'',109.5,9' 1.5'',9.9,,
48,,12158,Darren,Kelly,Darren Kelly,SG-PG,74.0,6' 2'',,,178,78.75,6' 6.75'',100.0,8' 4'',6.7,,
49,,2253,Sean,Lampley,Sean Lampley,SF,77.5,6' 5.5'',,,213,81.25,6' 9.25'',101.0,8' 5'',8.0,,
50,,12159,Zach,Marbury,Zach Marbury,PG-SG,73.25,6' 1.25'',,,183,75.5,6' 3.5'',96.5,8' 0.5'',6.7,,
51,,12160,Mike,Mardesich,Mike Mardesich,C-PF,82.25,6' 10.25'',,,247,84.5,7' 0.5'',108.5,9' 0.5'',13.6,,
52,,12161,DeMarcus,Minor,DeMarcus Minor,SG,75.25,6' 3.25'',,,207,80.25,6' 8.25'',99.5,8' 3.5'',6.7,,
53,,200081,Jamario,Moon,Jamario Moon,SF,78.5,6' 6.5'',,,185,83.5,6' 11.5'',103.0,8' 7'',5.3,,
54,,2211,Troy,Murphy,Troy Murphy,PF,81.75,6' 9.75'',,,230,83.0,6' 11'',105.5,8' 9.5'',11.7,,
55,,12162,Troy,Ostler,Troy Ostler,PF-SF,80.75,6' 8.75'',,,200,85.5,7' 1.5'',106.5,8' 10.5'',8.0,,
56,,40046,Lazaros,Papadopoulos,Lazaros Papadopoulos,C-PF,82.25,6' 10.25'',,,227,86.5,7' 2.5'',110.5,9' 2.5'',11.7,,
57,,12164,Rashad,Phillips,Rashad Phillips,PG,69.0,5' 9'',,,166,73.5,6' 1.5'',92.0,7' 8'',12.4,,
58,,12165,Demetrius,Porter,Demetrius Porter,PG,70.75,5' 10.75'',,,178,74.75,6' 2.75'',94.0,7' 10'',12.4,,
59,,12166,Martin,Rancik,Martin Rancik,PF-SF,80.75,6' 8.75'',,,230,80.0,6' 8'',102.5,8' 6.5'',8.0,,
60,,2202,Jason,Richardson,Jason Richardson,SF-SG,76.75,6' 4.75'',,,213,83.5,6' 11.5'',102.5,8' 6.5'',5.3,,
61,,2369,Norman,Richardson,Norman Richardson,SG,75.5,6' 3.5'',,,180,76.5,6' 4.5'',99.0,8' 3'',6.0,,
62,,2219,Jeryl,Sasser,Jeryl Sasser,PG-SG,77.5,6' 5.5'',,,194,82.5,6' 10.5'',103.5,8' 7.5'',6.7,,
63,,12167,Kenny,Satterfield,Kenny Satterfield,PG,73.0,6' 1'',,,176,76.5,6' 4.5'',98.0,8' 2'',6.7,,
64,,2243,Brian,Scalabrine,Brian Scalabrine,PF-SF,80.75,6' 8.75'',,,241,81.75,6' 9.75'',105.5,8' 9.5'',13.6,,
65,,12168,Lee,Scruggs,Lee Scruggs,PF-SF,82.25,6' 10.25'',,,209,89.75,7' 5.75'',110.5,9' 2.5'',10.5,,
66,,2250,Bobby,Simmons,Bobby Simmons,SF,78.25,6' 6.25'',,,235,84.25,7' 0.25'',105.0,8' 9'',6.7,,
67,,2226,Will,Solomon,Will Solomon,PG-SG,71.75,5' 11.75'',,,172,81.5,6' 9.5'',99.5,8' 3.5'',4.0,,
68,,12169,Greg,Stevenson,Greg Stevenson,SF,75.75,6' 3.75'',,,215,84.5,7' 0.5'',102.0,8' 6'',7.3,,
69,,12170,Damone,Thornton,Damone Thornton,PF,78.75,6' 6.75'',,,235,85.75,7' 1.75'',103.7,8' 7.75'',8.0,,
70,,2224,Jamaal,Tinsley,Jamaal Tinsley,PG,72.75,6' 0.75'',,,199,79.5,6' 7.5'',97.5,8' 1.5'',13.6,,
71,,12171,Tory,Walker,Tory Walker,SF,78.75,6' 6.75'',,,187,83.25,6' 11.25'',104.5,8' 8.5'',6.7,,
72,,12172,Souleymane,Wane,Souleymane Wane,C,80.5,6' 8.5'',,,235,89.0,7' 5'',109.0,9' 1'',11.2,,
73,,2248,Earl,Watson,Earl Watson,PG,72.0,6' 0'',,,184,78.75,6' 6.75'',97.0,8' 1'',4.0,,
74,,2206,Rodney,White,Rodney White,SF,79.5,6' 7.5'',,,243,83.5,6' 11.5'',104.5,8' 8.5'',9.3,,
75,,2254,Loren,Woods,Loren Woods,C-PF,84.75,7' 0.75'',,,246,89.5,7' 5.5'',113.0,9' 5'',9.3,,
76,,12040,Brent,Wright,Brent Wright,PF-SF,79.75,6' 7.75'',,,236,85.5,7' 1.5'',105.5,8' 9.5'',12.4,,
77,,12041,Michael,Wright,Michael Wright,PF,79.0,6' 7'',,,247,83.5,6' 11.5'',106.5,8' 10.5'',9.3,,
0,,2403,Nene,,Nene ,PF,81.25,6' 9.25'',,,253,88.5,7' 4.5'',109.0,9' 1'',,,
1,,2425,Robert,Archibald,Robert Archibald,PF-C,82.0,6' 10'',,,250,83.75,6' 11.75'',109.5,9' 1.5'',,,
2,,2486,Maurice,Baker,Maurice Baker,PG,71.75,5' 11.75'',,,178,76.0,6' 4'',96.0,8' 0'',,,
3,,2440,Matt,Barnes,Matt Barnes,SF,78.75,6' 6.75'',,,226,81.0,6' 9'',96.5,8' 0.5'',,,
4,,12286,Lubos,Barton,Lubos Barton,SF-SG,78.5,6' 6.5'',,,221,84.0,7' 0'',107.0,8' 11'',,,
5,,2437,Lonny,Baxter,Lonny Baxter,PF-C,78.25,6' 6.25'',,,264,85.5,7' 1.5'',107.5,8' 11.5'',,,
6,,12287,Lee,Benson,Lee Benson,SF-PF,80.25,6' 8.25'',,,217,85.75,7' 1.75'',109.0,9' 1'',,,
7,,2430,Carlos,Boozer,Carlos Boozer,PF,79.75,6' 7.75'',,,258,86.25,7' 2.25'',108.5,9' 0.5'',,,
8,,2414,Curtis,Borchardt,Curtis Borchardt,C,82.75,6' 10.75'',,,238,86.5,7' 2.5'',112.0,9' 4'',,,
9,,2452,J.R.,Bremer,J.R. Bremer,SG-PG,73.25,6' 1.25'',,,188,74.25,6' 2.25'',96.0,8' 0'',,,
10,,12288,Brian,Brown,Brian Brown,PG-SG,74.5,6' 2.5'',,,194,79.0,6' 7'',99.0,8' 3'',,,
11,,12289,Sylvere,Bryan,Sylvere Bryan,PF,81.0,6' 9'',,,226,88.5,7' 4.5'',109.5,9' 1.5'',,,
12,,12290,Chris,Burgess,Chris Burgess,C,82.0,6' 10'',,,246,83.5,6' 11.5'',109.0,9' 1'',,,
13,,2406,Caron,Butler,Caron Butler,SF-SG,77.25,6' 5.25'',,,222,83.5,6' 11.5'',103.5,8' 7.5'',,,
14,,2446,Rasual,Butler,Rasual Butler,SF,78.75,6' 6.75'',,,198,84.0,7' 0'',105.5,8' 9.5'',,,
15,,12291,Mire,Chatman,Mire Chatman,PG-SG,72.0,6' 0'',,,174,78.0,6' 6'',98.0,8' 2'',,,
16,,12042,Chris,Christoffersen,Chris Christoffersen,C,84.75,7' 0.75'',,,291,87.5,7' 3.5'',109.0,9' 1'',,,
17,,12043,Lenny,Cooke,Lenny Cooke,SG-SF,77.5,6' 5.5'',,,214,85.0,7' 1'',107.0,8' 11'',,,
18,,12044,Craig,Dawson,Craig Dawson,SG-SF,75.5,6' 3.5'',,,200,78.25,6' 6.25'',102.0,8' 6'',,,
19,,2399,Mike,Dunleavy,Mike Dunleavy,SF,80.0,6' 8'',,,230,81.0,6' 9'',106.0,8' 10'',,,
20,,12045,Teddy,Dupay,Teddy Dupay,PG,69.5,5' 9.5'',,,178,70.75,5' 10.75'',90.5,7' 6.5'',,,
21,,2451,Corsley,Edwards,Corsley Edwards,PF,79.25,6' 7.25'',,,285,82.75,6' 10.75'',106.5,8' 10.5'',,,
22,,12046,Andy,Ellis,Andy Ellis,PF,81.25,6' 9.25'',,,220,82.25,6' 10.25'',102.0,8' 6'',,,
23,,2408,Melvin,Ely,Melvin Ely,PF,81.0,6' 9'',,,240,88.0,7' 4'',111.0,9' 3'',,,
24,,2501,Reggie,Evans,Reggie Evans,PF,79.5,6' 7.5'',,,250,86.5,7' 2.5'',107.5,8' 11.5'',,,
25,,12047,Peter,Fehse,Peter Fehse,PF-C,82.0,6' 10'',,,220,84.5,7' 0.5'',109.0,9' 1'',,,
26,,2400,Drew,Gooden,Drew Gooden,PF,80.75,6' 8.75'',,,227,84.5,7' 0.5'',106.5,8' 10.5'',,,
27,,12066,David,Graves,David Graves,SG,76.5,6' 4.5'',,,212,79.0,6' 7'',101.0,8' 5'',,,
28,,2696,Lynn,Greer,Lynn Greer,PG,72.25,6' 0.25'',,,170,73.0,6' 1'',94.5,7' 10.5'',,,
29,,12067,Rod,Grizzard,Rod Grizzard,SF-SG,78.0,6' 6'',,,193,84.0,7' 0'',107.0,8' 11'',,,
30,,101219,Anthony,Grundy,Anthony Grundy,PG-SG,72.75,6' 0.75'',,,167,79.75,6' 7.75'',99.0,8' 3'',,,
31,,2409,Marcus,Haislip,Marcus Haislip,PF,80.5,6' 8.5'',,,221,84.0,7' 0'',107.0,8' 11'',,,
32,,12068,Damon,Hancock,Damon Hancock,SG-PG,74.75,6' 2.75'',,,203,78.0,6' 6'',99.5,8' 3.5'',,,
33,,12069,Greg,Harrington,Greg Harrington,PG,73.0,6' 1'',,,183,75.75,6' 3.75'',97.0,8' 1'',,,
34,,2617,Udonis,Haslem,Udonis Haslem,PF,79.75,6' 7.75'',,,250,83.0,6' 11'',107.0,8' 11'',,,
35,,12070,Cordell,Henry,Cordell Henry,PG,68.0,5' 8'',,,155,73.0,6' 1'',92.0,7' 8'',,,
36,,2450,Randy,Holcomb,Randy Holcomb,SF-PF,79.0,6' 7'',,,225,85.0,7' 1'',105.0,8' 9'',,,
37,,2415,Ryan,Humphrey,Ryan Humphrey,PF-SF,78.0,6' 6'',,,223,84.0,7' 0'',104.5,8' 8.5'',,,
38,,2407,Jared,Jeffries,Jared Jeffries,PF,82.0,6' 10'',,,230,84.5,7' 0.5'',109.0,9' 1'',,,
39,,12049,Jason,Jennings,Jason Jennings,C,83.25,6' 11.25'',,,249,91.0,7' 7'',111.0,9' 3'',,,
40,,2410,Fred,Jones,Fred Jones,SG,74.25,6' 2.25'',,,218,84.0,7' 0'',100.0,8' 4'',,,
41,,2495,Lonnie,Jones,Lonnie Jones,C-PF,82.25,6' 10.25'',,,230,86.25,7' 2.25'',112.0,9' 4'',,,
42,,2435,Mario,Kasun,Mario Kasun,C,83.75,6' 11.75'',,,260,83.5,6' 11.5'',109.0,9' 1'',,,
43,,12050,Sean,Kennedy,Sean Kennedy,PG,72.75,6' 0.75'',,,182,74.5,6' 2.5'',96.0,8' 0'',,,
44,,12051,Kris,Lang,Kris Lang,C-PF,81.25,6' 9.25'',,,242,83.75,6' 11.75'',109.0,9' 1'',,,
45,,12052,Muhammed,Lasege,Muhammed Lasege,C-PF,80.75,6' 8.75'',,,228,86.0,7' 2'',108.5,9' 0.5'',,,
46,,12053,Steve,Logan,Steve Logan,PG,70.0,5' 10'',,,207,71.75,5' 11.75'',92.5,7' 8.5'',,,
47,,2677,Kevin,Lyde,Kevin Lyde,C-PF,80.75,6' 8.75'',,,278,86.0,7' 2'',109.5,9' 1.5'',,,
48,,2432,Tito,Maddox,Tito Maddox,PG,75.0,6' 3'',,,200,77.0,6' 5'',99.0,8' 3'',,,
49,,12054,Kei,Madison,Kei Madison,SF,79.75,6' 7.75'',,,216,84.5,7' 0.5'',107.0,8' 11'',,,
